frame,numero_pers,joint,x,y,tracking,est_joueur
7,0,5,1369.12,174.197,0,1
7,0,6,1419.15,200.584,0,1
7,0,7,1469.16,224.187,0,1
7,0,8,1342.61,288.871,0,1
7,0,9,1327.91,288.911,0,1
7,0,10,1269.07,353.668,0,1
7,0,11,1292.62,441.948,0,1
7,0,12,1354.45,286.001,0,1
7,0,13,1401.45,368.416,0,1
7,0,14,1445.57,456.769,0,1
7,0,15,0,0,0,1
7,0,16,1339.64,112.409,0,1
7,0,17,0,0,0,1
7,0,18,1354.35,129.901,0,1
7,0,19,1401.61,474.348,0,1
7,0,20,1419.2,480.154,0,1
7,0,21,1451.61,462.576,0,1
7,0,22,1257.16,459.612,0,1
7,0,23,1257.36,456.641,0,1
7,0,24,1304.45,453.715,0,1
8,0,0,1330.99,115.278,0,1
8,0,1,1351.32,168.297,0,1
8,0,2,1324.98,156.461,0,1
8,0,3,1263.17,138.798,0,1
8,0,4,1207.15,127.182,0,1
8,0,5,1372.05,174.22,0,1
8,0,6,1421.94,200.519,0,1
8,0,7,1469.23,224.148,0,1
8,0,8,1348.43,288.847,0,1
8,0,9,1330.77,288.854,0,1
8,0,10,1271.99,350.75,0,1
8,0,11,1298.43,439.137,0,1
8,0,12,1357.33,286.002,0,1
8,0,13,1401.59,368.41,0,1
8,0,14,1445.71,456.761,0,1
8,0,15,0,0,0,1
8,0,16,1345.52,109.529,0,1
8,0,17,0,0,0,1
8,0,18,1354.49,129.917,0,1
8,0,19,1404.45,474.387,0,1
8,0,20,1422.03,480.183,0,1
8,0,21,1457.38,462.582,0,1
8,0,22,1257.31,459.585,0,1
8,0,23,1260.2,456.61,0,1
8,0,24,1307.23,453.674,0,1
8,2,0,0,0,2,0
8,2,1,0,0,2,0
8,2,2,0,0,2,0
8,2,3,0,0,2,0
8,2,4,0,0,2,0
8,2,5,0,0,2,0
8,2,6,0,0,2,0
8,2,7,0,0,2,0
8,2,8,459.572,7.79872,2,0
8,2,9,453.771,7.79822,2,0
8,2,10,459.72,7.83623,2,0
8,2,11,492.024,100.622,2,0
8,2,12,465.575,7.79996,2,0
8,2,13,462.611,6.3699,2,0
8,2,14,494.897,100.56,2,0
8,2,15,0,0,2,0
8,2,16,0,0,2,0
8,2,17,0,0,2,0
8,2,18,0,0,2,0
8,2,19,486.185,106.366,2,0
8,2,20,486.175,106.413,2,0
8,2,21,500.82,106.351,2,0
8,2,22,497.804,106.457,2,0
8,2,23,497.845,106.567,2,0
8,2,24,497.946,106.325,2,0
9,0,0,1333.74,115.245,0,1
9,0,1,1351.42,168.303,0,1
9,0,2,1327.75,153.71,0,1
9,0,3,1263.25,141.731,0,1
9,0,4,1210.03,129.881,0,1
9,0,5,1374.92,174.227,0,1
9,0,6,1422.03,200.535,0,1
9,0,7,1472.03,224.195,0,1
9,0,8,1348.44,288.834,0,1
9,0,9,1330.78,288.866,0,1
9,0,10,1274.89,347.884,0,1
9,0,11,1298.5,439.058,0,1
9,0,12,1357.35,285.98,0,1
9,0,13,1401.57,365.573,0,1
9,0,14,1445.77,456.74,0,1
9,0,15,0,0,0,1
9,0,16,1345.57,109.499,0,1
9,0,17,0,0,0,1
9,0,18,1354.53,129.885,0,1
9,0,19,1407.36,474.327,0,1
9,0,20,1422.12,480.141,0,1
